HomeTeam,HG,AG,AwayTeam
QPR,1,2,Wolves
Norwich,2,0,Bolton
Man City,3,0,Fulham
Arsenal,7,1,Blackburn
Chelsea,3,3,Man United
Newcastle,2,1,Aston Villa
Liverpool,0,0,Tottenham
Tottenham,5,0,Newcastle
Swansea,2,3,Norwich
Sunderland,1,2,Arsenal
Fulham,2,1,Stoke
Man United,2,1,Liverpool
Bolton,1,2,Wigan
Blackburn,3,2,QPR
Everton,2,0,Chelsea
Aston Villa,0,1,Man City
Wolves,1,5,West Brom
Wigan,0,0,Aston Villa
Chelsea,3,0,Bolton
Man City,3,0,Blackburn
Newcastle,2,2,Wolves
QPR,0,1,Fulham
West Brom,4,0,Sunderland
Stoke,2,0,Swansea
Norwich,1,2,Man United
Arsenal,5,2,Tottenham
Blackburn,1,1,Aston Villa
Liverpool,1,2,Arsenal
Man City,2,0,Bolton
QPR,1,1,Everton
Stoke,1,0,Norwich
West Brom,1,0,Chelsea
Wigan,0,2,Swansea
Newcastle,1,1,Sunderland
Fulham,5,0,Wolves
Tottenham,1,3,Man United
Wolves,0,2,Blackburn
Aston Villa,1,0,Fulham
Bolton,2,1,QPR
Chelsea,1,0,Stoke
Everton,1,0,Tottenham
Sunderland,1,0,Liverpool
Swansea,1,0,Man City
Man United,2,0,West Brom
Norwich,1,1,Wigan
Arsenal,2,1,Newcastle
Liverpool,3,0,Everton
Wigan,1,1,West Brom
Fulham,0,3,Swansea
Newcastle,1,0,Norwich
Wolves,0,5,Man United
Blackburn,2,0,Sunderland
Everton,0,1,Arsenal
Man City,2,1,Chelsea
QPR,3,2,Liverpool
Tottenham,1,1,Stoke
Bolton,2,1,Blackburn
Sunderland,3,1,QPR
Stoke,1,1,Man City
Norwich,2,1,Wolves
Arsenal,3,0,Aston Villa
Chelsea,0,0,Tottenham
Swansea,0,2,Everton
Liverpool,1,2,Wigan
West Brom,1,3,Newcastle
Man United,1,0,Fulham
QPR,2,1,Arsenal
Wolves,2,3,Bolton
Wigan,2,0,Stoke
Man City,3,3,Sunderland
Everton,2,0,West Brom
Aston Villa,2,4,Chelsea
Fulham,2,1,Norwich
Newcastle,2,0,Liverpool
Tottenham,3,1,Swansea
Blackburn,0,2,Man United
Swansea,0,2,Newcastle
Liverpool,1,1,Aston Villa
West Brom,3,0,Blackburn
Sunderland,0,0,Tottenham
Stoke,2,1,Wolves
Bolton,0,3,Fulham
Chelsea,2,1,Wigan
Norwich,2,2,Everton
Man United,2,0,QPR
Arsenal,1,0,Man City
Fulham,1,1,Chelsea
Everton,4,0,Sunderland
Newcastle,2,0,Bolton
Aston Villa,1,1,Stoke
Tottenham,1,2,Norwich
Blackburn,2,3,Liverpool
Wigan,1,0,Man United
Wolves,0,3,Arsenal
Man City,4,0,West Brom
QPR,3,0,Swansea
Norwich,1,6,Man City
Sunderland,0,0,Wolves
Swansea,3,0,Blackburn
West Brom,1,0,QPR
Man United,4,0,Aston Villa
Arsenal,1,2,Wigan
QPR,1,0,Tottenham
Newcastle,3,0,Stoke
Fulham,2,1,Wigan
Bolton,1,1,Swansea
Blackburn,2,0,Norwich
Aston Villa,0,0,Sunderland
Arsenal,0,0,Chelsea
Liverpool,0,1,West Brom
Man United,4,4,Everton
Wolves,0,2,Man City
Aston Villa,1,2,Bolton
Wigan,4,0,Newcastle
West Brom,0,0,Aston Villa
Swansea,4,4,Wolves
Stoke,1,1,Arsenal
Norwich,0,3,Liverpool
Everton,4,0,Fulham
Sunderland,2,2,Bolton
Chelsea,6,1,QPR
Tottenham,2,0,Blackburn
Man City,1,0,Man United
Liverpool,0,1,Fulham
Stoke,1,1,Everton
Bolton,1,4,Tottenham
Chelsea,0,2,Newcastle
Arsenal,3,3,Norwich
Newcastle,0,2,Man City
Man United,2,0,Swansea
Fulham,2,1,Sunderland
QPR,1,0,Stoke
Aston Villa,1,1,Tottenham
Bolton,2,2,West Brom
Wolves,0,0,Everton
Blackburn,0,1,Wigan
Liverpool,4,1,Chelsea
Norwich,2,0,Aston Villa
Swansea,1,0,Liverpool
Tottenham,2,0,Fulham
West Brom,2,3,Arsenal
Sunderland,0,1,Man United
Man City,3,2,QPR
Stoke,2,2,Bolton
Chelsea,2,1,Blackburn
Everton,3,1,Newcastle
Wigan,3,2,Wolves
